date,dexalus,dexcaus,dexjpus,dexszus,dexukus
2021-08-31,1.368550704803613,1.2629,110.05,0.9161,0.7274314395868189
2021-09-01,1.3570362328674175,1.2615,110.03,0.9145,0.7251631617113851
2021-09-02,1.3511687609782461,1.2559,110.01,0.9159,0.7233273056057866
2021-09-03,1.3437248051599033,1.2524,109.64,0.9136,0.7213966238638002
2021-09-06,,,,,
2021-09-07,1.352447930754666,1.2622,110.17,0.9179,0.7250580046403713
2021-09-08,1.3572204125950054,1.2681,110.32,0.9219,0.7266913741733885
2021-09-09,1.3550135501355014,1.2648,109.76,0.9173,0.7217610970768675
2021-09-10,1.3575889220743957,1.2636,109.93,0.918,0.7221780891167762
2021-09-13,1.3568521031207599,1.2643,109.94,0.9213,0.722334585379948
2021-09-14,1.3633265167007498,1.2663,109.66,0.9193,0.7221259387637203
2021-09-15,1.3653741125068268,1.2653,109.4,0.9196,0.7227000072270001
2021-09-16,1.37211855104281,1.2679,109.67,0.9251,0.7254261878853826
2021-09-17,1.3743815283122593,1.2738,109.94,0.9308,0.7270083605961469
2021-09-20,1.379690949227373,1.2818,109.47,0.9277,0.7322788517867604
2021-09-21,1.3812154696132597,1.2789,109.33,0.9235,0.7319036814755178
2021-09-22,1.3766519823788546,1.2733,109.59,0.9223,0.7315824127587973
2021-09-23,1.3704262025489926,1.2662,110.17,0.9243,0.7275372862859221
2021-09-24,1.3777900248002204,1.2672,110.72,0.9246,0.7309407207075506
2021-09-27,1.372872048325096,1.2643,110.97,0.9256,0.7292882147024504
2021-09-28,1.381788033715628,1.2692,111.33,0.9282,0.7387161113983897
2021-09-29,1.3908205841446455,1.275,111.83,0.9335,0.7441029838529652
2021-09-30,1.3835085777531821,1.2673,111.5,0.9339,0.7423904974016333
2021-10-01,1.3753266400770183,1.2657,110.97,0.9297,0.7368110816386678
2021-10-04,1.372872048325096,1.2571,110.94,0.9248,0.7351860020585208
2021-10-05,1.3708019191226868,1.2562,111.39,0.9271,0.7331378299120234
2021-10-06,1.3777900248002204,1.2612,111.33,0.9279,0.7369739848183359
2021-10-07,1.3659336156262807,1.2546,111.5,0.928,0.7334604664808567
2021-10-08,1.3683634373289546,1.2477,112.15,0.9272,0.7336757153338225
2021-10-11,,,,,
2021-10-12,1.3575889220743957,1.2439,113.69,0.9302,0.735023888276369
2021-10-13,1.35666802333469,1.2448,113.49,0.926,0.7328691828508611
2021-10-14,1.3478905512872354,1.2362,113.59,0.9232,0.7307804735457468
2021-10-15,1.348435814455232,1.2387,114.31,0.9241,0.7269555103227683
2021-10-18,1.3482540110556829,1.2362,114.22,0.9232,0.7285443683520326
2021-10-19,1.336719689881032,1.2354,114.27,0.9227,0.7242702976750923
2021-10-20,1.3312034078807242,1.2328,114.24,0.9197,0.7235366471311772
2021-10-21,1.3347570742124935,1.2339,113.75,0.9173,0.7240081088908196
2021-10-22,1.3399437223636608,1.2385,113.54,0.9164,0.727749072119933
2021-10-25,1.3344008540165466,1.2373,113.7,0.9193,0.7260582298700355
2021-10-26,1.3338668800853675,1.2388,114.19,0.9204,0.7261109497531223
2021-10-27,1.3306719893546242,1.2337,113.75,0.9183,0.7278550112817527
2021-10-28,1.3250298131707963,1.2348,113.38,0.9123,0.7244277021153288
